date,gregorian_year,roc_year,month,songtao_total_kwh,valid_building_count,all_three_buildings_valid,strict_model_include,quality_status,semester,songtao_resident_count,estimated_open_days,estimated_resident_days,open_days_assumption,daily_mean_temperature_c,cooling_degree_days_26c,weather_status,base_model_ready_except_weather,model_ready
2020-01-01,2020,109,1,,1,False,False,有效,108-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-02-01,2020,109,2,,1,False,False,有效,108-2,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-03-01,2020,109,3,,1,False,False,有效,108-2,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-04-01,2020,109,4,,1,False,False,有效,108-2,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-05-01,2020,109,5,,1,False,False,有效,108-2,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-06-01,2020,109,6,,1,False,False,有效,108-2,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-07-01,2020,109,7,,1,False,False,有效,,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-08-01,2020,109,8,,1,False,False,有效,,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-09-01,2020,109,9,,1,False,False,有效,109-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-10-01,2020,109,10,,1,False,False,有效,109-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-11-01,2020,109,11,,1,False,False,有效,109-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2020-12-01,2020,109,12,,1,False,False,有效,109-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2021-01-01,2021,110,1,104825.65,3,True,True,有效,109-1,,,,暑期未提供住宿／開館資料,15.0,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-02-01,2021,110,2,52197.5,3,True,True,有效,109-2,,,,暑期未提供住宿／開館資料,17.8,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-03-01,2021,110,3,162241.0,3,True,True,有效,109-2,,,,暑期未提供住宿／開館資料,18.5,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-04-01,2021,110,4,151324.4,3,True,True,有效,109-2,,,,暑期未提供住宿／開館資料,21.5,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-05-01,2021,110,5,175411.0,3,True,True,有效,109-2,,,,暑期未提供住宿／開館資料,27.0,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-06-01,2021,110,6,80786.0,3,True,True,有效,109-2,,,,暑期未提供住宿／開館資料,28.4,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-07-01,2021,110,7,48725.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,29.5,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2021-08-01,2021,110,8,37878.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,28.4,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
